Group,Optimizer,Loop,JoinOrder,Reward,Duration
5b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,648.53
9b.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,738.055
10b.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,837.373
6a.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,322.257
30a.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,1637.96
23b.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,455.955
31a.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,1661.99
8b.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,475.284
2d.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1102.79
15a.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,580.325
15c.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1281.55
33c.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,1267.26
2c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1111.69
21a.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,970.26
17a.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1460.64
13c.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1091.27
31b.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,1666.19
20c.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,1330.57
7b.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,366.966
21c.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,970.599
7c.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,1676.46
25b.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,1198.95
9d.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,1241.83
28c.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,1398.11
14a.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1315.89
25a.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,2992.73
12c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,878.181
16d.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4484.09
20a.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,1018.21
6e.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,415.815
3c.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,1774.62
8c.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,4591.05
11b.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,117.216
21b.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,551.246
19b.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1119.18
24a.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1566.52
1a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,321.878
23a.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,543.434
29c.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1505.52
22a.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,924.19
26c.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,993.346
27a.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,660.631
17c.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1191.16
30b.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,1610.39
3b.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,535.923
18b.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1313.16
33b.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,429.838
1c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,148.594
31c.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,2456.18
28b.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,778.01
7a.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,597.748
4a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,313.309
