Group,Optimizer,JoinOrder,ExecutionTime,Loop,Table,Edge
13b.sql,Reinforcement Learning,4-8-5-1-6-3-0-7-2-,222.428,0,9,11
13b.sql,Reinforcement Learning,4-8-5-1-6-0-3-7-2-,230.993,0,9,11
13b.sql,Reinforcement Learning,4-8-5-1-6-3-0-7-2-,235.384,0,9,11
13b.sql,Reinforcement Learning,4-8-5-0-6-1-3-7-2-,224.279,0,9,11
13b.sql,Reinforcement Learning,4-8-5-0-1-6-3-7-2-,222.738,0,9,11
13b.sql,Reinforcement Learning,4-8-5-0-6-1-3-7-2-,236.129,0,9,11
13b.sql,Reinforcement Learning,4-8-5-1-0-6-3-7-2-,232.43,0,9,11
13b.sql,Reinforcement Learning,4-8-5-1-6-3-0-7-2-,234.97,0,9,11
13b.sql,Reinforcement Learning,4-8-5-0-1-6-3-7-2-,225.144,0,9,11
13b.sql,Reinforcement Learning,4-8-5-1-6-3-0-7-2-,228.423,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1091.98,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1094.46,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1105.01,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1102.15,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1091.27,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1092.31,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1090.74,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1094.32,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1094.74,0,9,11
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1110.74,0,9,11
13c.sql,Reinforcement Learning,8-5-1-6-3-0-4-7-2-,177.442,0,9,11
13c.sql,Reinforcement Learning,4-8-5-0-1-6-7-2-3-,178.155,0,9,11
13c.sql,Reinforcement Learning,8-5-4-0-1-6-3-7-2-,178.956,0,9,11
13c.sql,Reinforcement Learning,4-8-5-6-3-1-0-7-2-,178.175,0,9,11
13c.sql,Reinforcement Learning,4-8-5-6-3-0-1-7-2-,178.895,0,9,11
13c.sql,Reinforcement Learning,8-5-6-4-3-1-0-7-2-,181.639,0,9,11
13c.sql,Reinforcement Learning,8-5-1-6-0-3-7-4-2-,183.438,0,9,11
13c.sql,Reinforcement Learning,4-8-5-6-3-1-0-7-2-,178.011,0,9,11
13c.sql,Reinforcement Learning,8-5-1-6-7-3-2-4-0-,178.392,0,9,11
13c.sql,Reinforcement Learning,8-5-4-1-0-6-7-3-2-,179.091,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1377.97,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1382.9,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1402.45,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1385.24,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1379.63,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1375.62,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1375.42,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1376.19,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1374.63,0,9,11
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1393.05,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1270.88,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1266.89,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1263.98,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1261,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1264.82,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1269.12,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1272.72,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1266.43,0,9,11
13d.sql,Reinforcement Learning,2-7-5-1-0-6-3-8-4-,1274.37,0,9,11
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1310.74,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1311.44,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1308.82,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1311.31,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1315.89,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1303.84,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1312.94,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1307.88,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1306.41,0,8,10
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1319.14,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-4-0-3-,1196.06,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-3-4-0-,1198.59,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-3-1-4-0-,1198.97,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-3-4-0-,1202.61,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-3-1-4-0-,1204.59,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-4-3-0-,1202.97,0,8,10
14a.sql,Reinforcement Learning,2-6-7-3-4-0-5-1-,1212.73,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-3-4-0-,1200.14,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-1-4-0-3-,1201.98,0,8,10
14a.sql,Reinforcement Learning,2-6-7-5-4-0-1-3-,1202.9,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1183.12,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1188.61,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1187.28,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1188.34,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1185.95,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1185.38,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1182.02,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1186.82,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1195.43,0,8,10
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1186.77,0,8,10
14b.sql,Reinforcement Learning,2-6-7-5-3-1-4-0-,1170.83,0,8,10
14b.sql,Reinforcement Learning,2-6-7-3-4-0-5-1-,1174.08,0,8,10
14b.sql,Reinforcement Learning,2-6-7-4-5-0-1-3-,1179.78,0,8,10
14b.sql,Reinforcement Learning,2-6-7-3-4-5-0-1-,1172.32,0,8,10
14b.sql,Reinforcement Learning,2-6-7-3-5-1-4-0-,1174.21,0,8,10
14b.sql,Reinforcement Learning,2-6-7-5-4-1-0-3-,1173.37,0,8,10
14b.sql,Reinforcement Learning,2-6-7-4-0-3-5-1-,1178.94,0,8,10
14b.sql,Reinforcement Learning,2-6-7-3-4-0-5-1-,1174.99,0,8,10
14b.sql,Reinforcement Learning,2-6-7-4-3-0-5-1-,1176.74,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1571.72,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1576.26,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1584.08,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1575.89,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1574.19,0,8,10
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1573.58,0,8,10
