Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
28b.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.972,56743.1,56749.1
17a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.19,2025.43,2029.64
5a.sql,DuckDB,NULL,4--3---2---1---0--,0.895,57277.4,57278.4
2b.sql,DuckDB,NULL,4--3---2---1---0--,0.608,1595.11,1595.74
12b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.952,56315.4,56319.4
33b.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.806,346.041,351.865
15c.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.216,59228.9,59233.1
8d.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.8,4898.32,4903.14
17f.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.363,2997.87,3002.25
22d.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,5.077,59250.9,59256
1a.sql,DuckDB,NULL,4--3---2---1---0--,0.995,663.58,664.592
9d.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.187,3433.98,3438.18
19b.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,5.007,58024.3,58029.3
29c.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.542,58202.7,58208.3
23a.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.67,56735.5,56740.2
9c.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.371,2027.13,2031.52
2d.sql,DuckDB,NULL,4--3---2---1---0--,0.723,1650.74,1651.48
11b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.206,232.363,236.585
23c.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.775,57024.4,57029.2
16d.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.499,5782.11,5786.63
2a.sql,DuckDB,NULL,4--3---2---1---0--,0.743,1609.04,1609.8
