Group,Optimizer,Execution Tme
7c.sql,Dynamic Programming,1672.74
25b.sql,Dynamic Programming,1197.18
9d.sql,Dynamic Programming,1246.43
28c.sql,Dynamic Programming,1400.01
14a.sql,Dynamic Programming,1303.84
25a.sql,Dynamic Programming,2976.1
12c.sql,Dynamic Programming,874.921
16d.sql,Dynamic Programming,4462.52
20a.sql,Dynamic Programming,1010.13
6e.sql,Dynamic Programming,410.945
3c.sql,Dynamic Programming,1764.84
8c.sql,Dynamic Programming,4582.34
11b.sql,Dynamic Programming,114.368
21b.sql,Dynamic Programming,538.91
19b.sql,Dynamic Programming,1116.29
24a.sql,Dynamic Programming,1553.9
1a.sql,Dynamic Programming,325.582
23a.sql,Dynamic Programming,542.29
29c.sql,Dynamic Programming,1504.24
22a.sql,Dynamic Programming,919.768
26c.sql,Dynamic Programming,991.075
27a.sql,Dynamic Programming,653.504
17c.sql,Dynamic Programming,1186.33
30b.sql,Dynamic Programming,1616.67
3b.sql,Dynamic Programming,533.606
18b.sql,Dynamic Programming,1306.37
33b.sql,Dynamic Programming,428.316
1c.sql,Dynamic Programming,146.446
31c.sql,Dynamic Programming,2449.45
28b.sql,Dynamic Programming,779.283
7a.sql,Dynamic Programming,600.934
4a.sql,Dynamic Programming,309.64
16b.sql,Dynamic Programming,6152.42
18c.sql,Dynamic Programming,2214.8
20b.sql,Dynamic Programming,470.965
9a.sql,Dynamic Programming,938.108
22c.sql,Dynamic Programming,1460.27
22d.sql,Dynamic Programming,1584.36
2b.sql,Dynamic Programming,1099.19
8d.sql,Dynamic Programming,3394.38
32b.sql,Dynamic Programming,371.079
9c.sql,Dynamic Programming,1168.99
12b.sql,Dynamic Programming,229.49
17b.sql,Dynamic Programming,1268.05
1d.sql,Dynamic Programming,457.37
27b.sql,Dynamic Programming,633.884
13a.sql,Dynamic Programming,1821.79
25c.sql,Dynamic Programming,4801.95
6b.sql,Dynamic Programming,291.083
2a.sql,Dynamic Programming,1145.27
13d.sql,Dynamic Programming,1375.62
29a.sql,Dynamic Programming,1284.99
14b.sql,Dynamic Programming,1185.38
30c.sql,Dynamic Programming,2329.98
6f.sql,Dynamic Programming,2400.9
22b.sql,Dynamic Programming,903.059
24b.sql,Dynamic Programming,1359.79
6d.sql,Dynamic Programming,413.944
17d.sql,Dynamic Programming,1261.28
13b.sql,Dynamic Programming,1159.84
17e.sql,Dynamic Programming,3122.76
5a.sql,Dynamic Programming,951.478
15d.sql,Dynamic Programming,1717.89
16a.sql,Dynamic Programming,4321.12
11c.sql,Dynamic Programming,164.667
10a.sql,Dynamic Programming,956.905
11a.sql,Dynamic Programming,164.13
5c.sql,Dynamic Programming,1391.64
29b.sql,Dynamic Programming,1110.23
8a.sql,Dynamic Programming,595.613
12a.sql,Dynamic Programming,609.774
14c.sql,Dynamic Programming,1570.39
19a.sql,Dynamic Programming,1444.8
16c.sql,Dynamic Programming,4288.93
4b.sql,Dynamic Programming,121.048
33a.sql,Dynamic Programming,469.669
3a.sql,Dynamic Programming,1068.91
1b.sql,Dynamic Programming,387.369
18a.sql,Dynamic Programming,5309.71
15b.sql,Dynamic Programming,543.094
23c.sql,Dynamic Programming,631.99
26b.sql,Dynamic Programming,749.078
19c.sql,Dynamic Programming,1534.24
17f.sql,Dynamic Programming,1910.09
27c.sql,Dynamic Programming,954.626
6c.sql,Dynamic Programming,259.319
28a.sql,Dynamic Programming,1365.94
